Cond,MPEmo_01,MPEmo_02,MPInt_01,MPInt_02,MPCog_01,MPCog_02,MPCog_01_rev,ArtworkEval_01_P1,ArtworkEval_02_P1,ArtworkEval_03_P1,ArtworkEval_04_P1,ArtworkEval_05_P1,ArtworkEval_06_P1,PercInf_01_P1,PercInf_02_P1,PercInf_03_P1,ArtworkEval_01_P2,ArtworkEval_02_P2,ArtworkEval_03_P2,ArtworkEval_04_P2,ArtworkEval_05_P2,ArtworkEval_06_P2,PercInf_01_P2,PercInf_02_P2,PercInf_03_P2,Import_Creativity,Import_DetTexture,Import_BrushSkill,Import_AestSignificance,AIBetter_1_01,AIBetter_1_02,YoB,G_M1_F2,Race,Race_6_TEXT,Country,ArtLiteracy_1,ArtLiteracy_2,ArtLiteracy_3,ComEfficacy_1,ComEfficacy_2,ComEfficacy_3,AIAttitude_01,AIAttitude_02,AIAttitude_03_rev
AILose,1,1,4,4,1,1,4,2,4,4,3,3,3,2,1,1,4,3,4,4,3,4,4,3,4,5,2,2,4,0,0,1989,1,1,,USA,5,5,5,5,1,5,3,3,3
AILose,1,1,4,5,1,1,5,2,4,3,4,3,2,2,3,3,1,1,1,1,1,1,1,1,1,4,4,5,5,0,0,1976,1,1,,usa,5,5,5,4,3,4,4,4,4
AILose,3,5,4,4,3,3,3,5,4,3,4,4,4,5,5,3,4,3,4,5,2,3,5,5,3,5,3,4,5,1,1,1985,1,2,,USA,4,5,4,4,5,4,4,3,4
AILose,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,3,5,4,4,4,4,4,3,3,4,4,3,4,4,1,0,1963,2,1,,usa,4,4,3,4,3,4,4,3,4
AILose,2,2,5,4,1,4,5,3,4,3,2,1,5,5,4,4,1,4,2,3,1,3,4,4,2,5,5,5,5,0,0,1963,1,1,,usa,4,3,1,4,1,4,5,5,3
AILose,1,1,4,1,1,1,5,2,4,4,3,2,4,2,2,4,3,1,1,1,1,1,1,1,1,5,2,4,4,0,0,1990,1,1,,USA,4,5,4,4,2,4,4,4,2
AILose,4,3,4,3,5,4,3,5,4,4,5,3,3,3,4,4,3,5,4,5,4,4,3,4,3,4,5,4,3,0,0,1981,1,1,,USA,3,4,3,3,5,5,4,3,4
AILose,2,2,2,2,2,2,4,5,5,5,5,5,5,5,4,5,3,1,3,2,3,2,4,3,2,5,4,5,4,0,0,1962,2,1,,United States,4,3,5,4,2,5,4,4,2
AILose,1,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,1986,2,2,,United States,5,5,5,5,1,5,5,5,1
AILose,5,4,4,4,5,4,3,5,5,4,4,4,2,3,4,3,5,2,5,4,3,4,3,5,4,5,4,4,3,0,0,1956,2,2,,USA,5,4,3,3,4,5,5,4,3
AILose,4,4,5,4,4,4,3,5,3,5,3,4,3,5,5,5,4,5,5,4,3,4,4,5,3,4,5,4,5,0,0,1979,1,1,,usa,3,5,5,5,4,5,4,5,5
AILose,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,3,5,4,4,5,5,5,1,1,1997,2,1,,United States,5,4,5,4,5,5,4,5,5
AILose,1,2,3,4,2,2,3,4,4,5,3,4,4,4,2,3,5,3,3,3,3,3,4,2,4,4,2,3,2,0,0,1986,1,1,,USA,4,3,4,5,1,5,3,2,2
AILose,3,2,4,4,4,3,3,4,3,4,3,4,2,3,4,5,4,3,2,4,3,4,3,2,4,5,4,3,4,1,0,1990,2,1,,USA,3,4,4,2,4,3,3,4,4
AILose,4,4,3,4,3,3,4,3,4,3,4,3,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,4,3,0,0,1987,1,1,,usa,3,4,3,3,3,4,3,3,4
AILose,1,1,4,4,2,1,5,2,5,5,3,4,4,2,1,2,5,5,4,2,5,2,4,2,4,5,5,5,5,0,0,1986,2,1,,United States ,4,5,5,4,2,4,3,3,3
AILose,1,1,1,1,1,1,5,4,2,5,3,4,3,4,3,4,4,4,2,4,4,4,5,4,4,5,2,4,3,0,0,1988,1,1,,Indiana,5,4,5,5,1,5,5,5,2
AILose,1,1,5,5,2,2,5,5,5,4,5,4,4,4,5,5,4,4,1,5,5,4,5,5,5,5,3,2,2,1,0,1995,1,1,,United States,5,5,5,4,4,4,5,4,5
AILose,4,4,5,5,5,4,5,3,4,3,2,4,2,3,3,4,3,4,2,5,3,3,5,4,4,5,4,5,4,1,1,1963,2,1,,United States,4,4,5,5,1,5,5,5,5
AILose,1,1,5,5,1,1,5,5,4,4,4,4,4,5,3,5,4,4,3,3,3,3,4,3,4,4,3,3,4,0,0,1965,2,1,,United States,4,4,4,5,2,4,3,3,2
AILose,4,4,5,4,4,4,1,3,3,3,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,5,4,3,4,1,0,1990,2,3,,Canada ,2,4,4,5,3,5,5,5,3
AILose,2,1,5,5,2,4,5,4,3,4,2,4,2,4,2,2,2,1,2,2,2,2,4,2,2,5,3,3,4,1,0,1991,2,1,,UK,4,4,5,5,1,5,4,2,1
AILose,1,1,1,1,1,1,5,5,5,5,4,5,5,5,4,4,5,2,1,1,1,1,1,1,1,5,4,3,5,1,1,1985,2,1,,United States,1,2,2,5,1,5,2,2,2
AILose,1,1,1,1,1,1,5,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,1,1,3,3,3,3,3,0,0,1983,1,3,,USA,1,1,1,4,2,4,3,4,3
AILose,5,5,5,4,5,4,5,4,5,5,5,4,4,5,3,4,5,4,5,3,4,4,3,4,4,3,3,2,3,1,1,1989,1,1,,us,4,4,4,5,5,4,4,3,4
AILose,1,1,4,5,2,2,5,4,4,5,5,3,3,5,3,2,1,3,1,1,1,1,1,1,1,4,2,3,5,0,1,2002,1,1,,United Kingdom,2,1,4,5,1,5,4,5,2
AILose,2,2,4,4,2,2,4,4,4,5,5,4,4,5,4,5,1,1,1,1,1,1,1,2,2,5,3,5,5,0,0,1982,2,1,,usa,5,5,5,4,2,4,3,4,2
AILose,2,2,2,4,4,2,2,5,5,5,5,5,5,5,5,5,4,3,2,2,4,3,2,4,3,5,5,5,5,0,0,1982,2,1,,United States of America,5,5,5,5,2,5,3,3,4
AILose,2,2,2,1,2,2,2,4,4,5,4,5,4,5,4,5,1,1,1,2,1,2,2,2,2,5,5,5,4,0,0,1988,1,3,,USA,4,5,4,5,1,5,4,4,1
AILose,5,5,5,5,4,5,4,5,5,4,4,5,4,4,5,4,5,5,4,5,4,4,4,5,5,5,5,4,4,1,1,1990,1,1,,usa,4,5,4,5,5,5,5,4,5
AILose,1,1,1,1,1,1,5,3,4,4,2,3,2,2,3,4,4,4,4,2,3,2,2,2,2,5,5,4,5,0,0,1987,1,1,,USA,2,2,2,4,2,4,1,1,1
AILose,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,4,5,5,0,1,1989,1,1,,il,4,5,5,4,4,5,4,4,5
AILose,3,5,5,2,3,3,4,4,3,4,5,5,5,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,3,1,1,1990,1,1,,United States,2,2,2,4,1,4,4,3,3
AILose,3,5,4,3,4,4,5,5,5,4,5,5,4,4,4,4,5,4,4,3,4,3,5,4,3,3,3,4,3,0,0,1980,1,1,,us,3,4,5,3,3,4,5,4,5
AILose,2,2,4,3,4,3,3,5,4,4,5,5,5,4,5,4,4,3,4,4,4,3,2,4,3,4,5,5,5,0,0,1972,1,1,,USA,4,3,5,5,4,5,4,4,2
AILose,4,3,3,3,4,3,1,3,3,4,3,3,4,3,4,2,2,4,4,4,4,4,4,3,2,4,4,3,5,1,0,1991,1,1,,usa,4,3,2,4,4,3,3,3,2
AILose,4,5,5,4,5,2,4,5,3,5,5,5,4,5,4,5,2,1,5,1,2,4,3,3,2,5,3,4,5,1,0,1975,1,2,,United States,5,4,4,5,3,5,4,5,4
AILose,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,1988,2,1,,USA,3,3,3,3,3,3,3,3,3
AILose,3,2,2,2,3,2,2,4,4,5,4,4,3,5,5,4,5,5,4,3,3,4,5,5,4,5,5,3,5,0,0,1987,1,1,,United states,5,5,4,5,1,5,4,3,3
AILose,5,4,3,5,4,4,5,4,4,4,5,5,4,4,5,3,3,5,4,4,4,3,3,5,4,3,3,4,5,1,1,1993,1,1,,america,4,3,5,4,3,5,4,5,4
AILose,1,1,1,1,1,1,5,2,4,4,1,3,2,2,3,2,4,4,3,3,4,2,4,2,4,5,2,4,4,0,0,1975,2,1,,United States,5,3,4,5,1,5,3,3,4
AILose,2,3,5,3,4,4,4,2,3,5,3,3,4,3,3,3,4,2,5,2,2,2,4,3,3,4,2,3,2,0,0,1992,1,1,,USA,4,4,4,3,4,5,4,4,4
AILose,3,4,3,3,4,4,3,4,3,3,3,3,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,4,4,0,1,1999,2,3,,USA,4,3,4,4,3,4,4,4,4
AILose,1,1,5,1,1,1,5,5,5,5,5,5,5,3,4,5,3,5,5,4,5,5,5,5,5,5,5,5,5,1,0,1993,1,2,,United States,5,5,3,3,5,4,3,1,5
AILose,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1980,1,1,,111,1,1,,1,1,,1,1,
AILose,3,3,3,3,,3,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1991,1,1,,United States,3,3,3,3,3,3,3,3,3
AILose,4,5,3,3,3,2,3,2,4,2,3,4,4,5,3,3,5,4,3,4,3,3,4,2,5,5,4,3,2,0,0,1990,1,"1,2,3,4,5",,usa,3,3,5,3,4,5,3,4,4
AILose,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1910,2,1,,e questions below.,5,5,5,5,5,5,5,5,5
AILose,3,3,2,3,3,4,4,2,2,4,4,4,4,2,3,2,2,3,3,3,2,3,4,4,3,4,4,3,4,1,0,1992,2,1,,United States,3,3,3,4,3,3,4,3,3
AILose,4,4,4,4,4,4,1,4,5,5,5,5,5,5,5,5,4,4,2,2,4,2,4,4,4,5,5,4,5,0,0,1963,1,1,,USA,4,4,4,4,2,4,4,4,2
AILose,1,1,1,1,1,1,5,5,5,5,5,5,5,5,4,3,4,5,4,3,4,3,3,4,3,5,5,5,5,0,0,1948,1,1,,United States,5,5,5,5,1,5,5,5,1
AILose,4,5,4,5,4,5,4,4,5,4,4,4,5,5,5,4,5,4,4,5,5,4,5,4,4,4,4,4,4,1,1,1990,2,1,,usa,4,4,5,4,4,4,4,4,5
AILose,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1972,1,1,,United States,5,5,5,4,5,5,5,4,5
AILose,1,1,5,1,1,1,5,2,5,5,2,4,4,4,2,4,5,1,4,4,5,2,5,2,5,4,4,4,4,0,0,1984,2,1,,USA,4,4,4,4,1,4,3,3,4
